dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,sys,sys_config,variable,1,varchar,128,"PRIMARY KEY",NULL,NULL,NULL
mysql,sys,sys_config,value,2,varchar,128,NULL,NULL,NULL,NULL
mysql,sys,sys_config,set_time,3,timestamp,NULL,NULL,NULL,NULL,NULL
mysql,sys,sys_config,set_by,4,varchar,128,NULL,NULL,NULL,NULL
mysql,astu,stud,Id,1,varchar,15,NULL,NULL,NULL,NULL
mysql,astu,stud,Name_stud,2,varchar,25,NULL,NULL,NULL,NULL
mysql,astu,stud,Dip,3,varchar,10,NULL,NULL,NULL,NULL
mysql,astu,stud,Gread,4,int,NULL,NULL,NULL,NULL,NULL
mysql,bankdb,customer,CustomerID,1,varchar,10,"PRIMARY KEY",NULL,NULL,NULL
mysql,bankdb,customer,FullName,2,varchar,50,NULL,NULL,NULL,NULL
mysql,bankdb,customer,CustAddress,3,varchar,100,NULL,NULL,NULL,NULL
mysql,bankdb,customer,PhoneNumber,4,varchar,20,UNIQUE,NULL,NULL,NULL
mysql,bankdb,customer,Email,5,varchar,50,UNIQUE,NULL,NULL,NULL
mysql,bankdb,customer,DateOfBirth,6,date,NULL,NULL,NULL,NULL,NULL
mysql,bankdb,account,AccountNumber,1,varchar,10,"PRIMARY KEY",NULL,NULL,NULL
mysql,bankdb,account,AccountType,2,varchar,20,NULL,NULL,NULL,NULL
mysql,bankdb,account,Balance,3,decimal,NULL,NULL,NULL,NULL,NULL
mysql,bankdb,account,CustomerID,4,varchar,10,"FOREIGN KEY",bankdb,customer,CustomerID
mysql,bankdb,banktransaction,TransactionID,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,bankdb,banktransaction,TransactionType,2,varchar,20,NULL,NULL,NULL,NULL
mysql,bankdb,banktransaction,Amount,3,decimal,NULL,NULL,NULL,NULL,NULL
mysql,bankdb,banktransaction,Description,4,varchar,100,NULL,NULL,NULL,NULL
mysql,bankdb,banktransaction,AccountNumber,5,varchar,10,"FOREIGN KEY",bankdb,account,AccountNumber
mysql,oline_shopping_platform_war_exploded,products,product_id,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,oline_shopping_platform_war_exploded,products,name,2,varchar,255,NULL,NULL,NULL,NULL
mysql,oline_shopping_platform_war_exploded,products,description,3,text,65535,NULL,NULL,NULL,NULL
